name,company,year,kms_driven,fuel_type,Price
91,9,2006,46000,0,75000
96,9,2013,45000,1,401000
63,8,2016,52000,1,519000
161,14,2010,36000,0,249999
195,20,2013,50000,1,374999
130,13,2015,30000,1,855000
95,9,2012,29000,1,600000
99,9,2016,140000,1,300000
60,8,2015,54000,0,448999
174,17,2015,37000,1,1725000
34,4,2008,65000,0,75000
88,9,2014,20000,0,365000
91,9,2007,42000,0,135000
230,22,2006,40000,0,160000
149,14,2016,40000,0,425000
88,9,2014,35000,0,340000
54,8,2013,46000,1,284999
91,9,2009,43200,0,88000
132,13,2008,80000,1,285000
148,14,2015,60000,0,250000
120,13,2017,35000,1,360000
65,8,2009,24695,0,169999
185,19,2013,57923,1,401919
2,0,2016,44000,1,1900000
166,14,2003,133000,0,130000
26,2,2010,41000,0,110000
36,5,2015,3200,1,580000
32,3,2017,16000,0,235000
166,14,2009,27000,0,159000
188,19,2018,2137,0,290000
129,13,2015,48508,1,250000
152,14,2015,45000,1,444999
235,22,2013,24800,0,275000
209,21,2016,175430,1,320000
181,19,2015,49000,1,449999
156,14,2013,65000,0,180000
157,14,2001,75000,0,40000
54,8,2014,37000,0,299999
129,13,2015,97200,1,900000
79,9,2014,28000,0,200000
148,14,2005,47000,0,70000
178,18,2011,52000,0,230000
92,9,2017,36469,1,190000
139,13,2015,15000,1,1000000
52,7,2000,200000,1,70000
231,22,2010,70000,0,289999
166,14,2016,20000,0,395000
131,13,2015,48660,1,320000
150,14,2018,37000,0,310000
87,9,2009,20000,0,115000
146,14,2000,33400,0,30000
163,14,2014,35000,0,390000
107,9,2010,10750,0,300000
78,9,2017,15000,0,550000
231,22,2010,58000,0,220000
181,19,2013,41000,1,399999
81,9,2013,39700,0,190000
247,23,2014,60000,0,315000
107,9,2012,36200,1,329500
88,9,2016,27000,0,380000
64,8,2008,42000,0,149000
54,8,2013,55700,1,250000
60,8,2012,45000,0,399999
177,18,2012,45000,0,224999
157,14,1995,55000,0,30000
219,21,2012,75000,1,210000
1,0,2009,47000,0,699000
91,9,2007,45000,0,80000
97,9,2008,45000,0,160000
96,9,2012,10000,1,350000
48,6,2019,0,0,525000
163,14,2014,55000,1,335000
121,13,2016,20000,1,400000
95,9,2016,56000,1,195000
71,9,2009,48000,0,165000
181,19,2014,50000,1,449999
183,19,2012,35000,1,501000
161,14,2010,36000,0,249999
148,14,2005,65000,0,95000
242,23,2009,54500,1,450000
26,2,2010,23000,0,95000
55,8,2014,33000,0,311000
129,13,2015,97200,1,900000
166,14,2016,15000,0,344999
58,8,2012,33000,0,235000
196,20,2006,65000,1,114990
139,13,2013,80000,1,689999
159,14,2013,33000,1,399999
240,22,2006,73000,1,365000
198,20,2011,68000,0,530000
136,13,2016,29500,1,540000
236,22,2012,20000,1,380000
90,9,2011,45000,0,165000
75,9,2016,25000,0,950000
2,0,2013,27000,1,1510000
46,6,2014,50000,1,195000
203,21,2009,30000,1,110000
238,22,2010,131000,1,940000
101,9,2009,27000,0,215000
78,9,2018,7800,0,600000
79,9,2018,25000,0,260000
17,2,2012,45000,1,135000
129,13,2015,97200,1,900000
158,14,2013,25000,0,165000
153,14,2015,55000,0,251111
60,8,2000,80000,0,65000
103,9,2014,18000,0,265000
219,21,2014,99000,1,250000
159,14,2013,33000,1,399999
132,13,2004,60000,1,175000
163,14,2012,48006,1,280000
163,14,2017,15487,0,180000
163,14,2014,35522,1,385000
129,13,2015,35000,1,395000
170,15,2006,15000,0,500001
194,20,2010,60000,0,182000
167,14,2008,46000,0,125000
163,14,2017,41800,1,650000
131,13,2012,62000,1,565000
119,13,2019,60,1,390000
236,22,2014,55000,0,270000
139,13,2014,47000,1,649999
214,21,2013,6800,0,60000
60,8,2015,39000,1,599999
154,14,2013,42000,1,485000
123,13,2009,66000,0,130000
225,21,2013,30000,1,100000
163,14,2010,38500,1,189500
217,21,2010,48008,0,32000
166,14,2006,71200,0,80000
163,14,2016,51000,1,499000
154,14,2016,55000,1,730000
192,20,2009,45000,0,110000
17,2,2015,90000,1,215000
127,13,2004,58000,1,175000
201,21,2015,15000,0,600000
166,14,2010,40000,0,225000
87,9,2009,20000,0,115000
12,1,2012,41000,1,1025000
142,13,2013,38000,1,701000
190,19,2018,20000,1,689999
54,8,2015,22000,0,344999
204,21,2015,60105,1,140000
172,16,2013,13000,0,1891111
56,8,2016,160000,1,240000
166,14,2003,45000,0,90000
152,14,2009,46000,0,220000
15,2,2011,56000,1,125000
231,22,2009,65000,0,199999
129,13,2015,97200,1,900000
1,0,2009,47000,0,699000
148,14,2010,22134,0,99000
166,14,2010,54870,0,145000
149,14,2017,32000,1,549000
172,16,2013,13000,0,1891111
59,8,2017,11000,0,450000
209,21,2016,175430,1,320000
115,13,2017,23452,1,180000
32,3,2017,22000,0,244999
200,21,2014,35000,1,390000
163,14,2009,90000,1,120000
140,13,2018,40000,1,1299000
154,14,2015,50000,1,524999
182,19,2013,39000,1,435000
78,9,2017,31000,0,599999
32,3,2017,16000,0,235000
9,1,2011,49000,1,1299000
106,9,2015,35000,1,574999
110,9,2014,60000,1,370000
148,14,2017,5600,0,350000
133,13,2014,77000,1,650000
166,14,2017,23000,0,375000
207,21,2016,104000,1,130000
78,9,2011,40000,0,290000
156,14,2007,36000,0,115000
84,9,2013,117000,1,350000
130,13,2015,63000,1,795000
105,9,2009,31000,0,199000
54,8,2013,46000,1,284999
167,14,2004,56000,0,68000
91,9,2007,65000,0,55000
163,14,2010,67000,1,270000
151,14,2016,3350,0,700000
152,14,2016,2500,1,450000
163,14,2008,60000,1,162000
189,19,2018,15000,0,325000
67,8,2014,44000,0,399999
148,14,2003,60000,0,42000
16,2,2010,43000,0,120000
114,12,2015,30000,1,2100000
111,10,2016,8500,0,2800000
18,2,2012,65422,1,215000
167,14,2006,32000,0,71000
75,9,2016,8000,0,1000000
131,13,2012,19000,1,570000
158,14,2009,56000,0,85000
108,9,2010,36000,0,195000
120,13,2016,26500,0,380000
163,14,2010,74000,1,190000
159,14,2014,19000,0,299999
203,21,2005,80000,1,60000
39,6,2016,24530,1,830000
63,8,2016,95000,0,860000
148,14,2008,70000,0,95000
159,14,2011,50000,0,270000
91,9,2004,137495,0,45000
146,14,2001,81876,0,55000
154,14,2012,39000,1,389700
167,14,2009,0,0,125000
148,14,2010,34580,0,135000
40,6,2016,30000,1,599000
231,22,2010,55000,0,185000
154,14,2014,45000,0,569999
240,22,2012,75000,1,750000
163,14,2007,62000,0,130000
163,14,2011,65000,1,140000
133,13,2014,50000,1,699000
60,8,2017,3000,0,750000
127,13,2007,56000,1,260000
